threshold_mm,cls,A,window,success_rate,success,wrong_placement,wrong_class,late,no_response
500.0000,LONG,220.0000,300,38.3333,23,26,10,0,1
500.0000,LONG,220.0000,350,53.3333,32,17,11,0,0
500.0000,LONG,220.0000,400,66.6667,40,14,6,0,0
500.0000,LONG,220.0000,450,73.3333,44,13,2,0,1
500.0000,LONG,220.0000,490,76.6667,46,10,3,0,1
500.0000,LONG,220.0000,500,81.6667,49,7,3,0,1
500.0000,LONG,220.0000,550,86.6667,52,4,3,0,1
500.0000,LONG,220.0000,600,85.0000,51,8,1,0,0
500.0000,LONG,220.0000,650,85.0000,51,2,1,6,0
500.0000,LONG,220.0000,700,66.6667,40,2,0,18,0
500.0000,LONG,220.0000,750,55.0000,33,0,0,27,0
500.0000,LONG,220.0000,800,33.3333,20,0,0,39,1
500.0000,LONG,220.0000,850,23.3333,14,0,0,46,0
500.0000,LONG,220.0000,900,10.0000,6,0,0,53,1
500.0000,LONG,220.0000,950,6.6667,4,0,0,56,0
500.0000,LONG,220.0000,1000,1.6667,1,0,0,59,0
500.0000,LONG,220.0000,1050,0.0000,0,0,0,60,0
500.0000,LONG,220.0000,1100,0.0000,0,0,0,56,4
500.0000,LONG,220.0000,1150,0.0000,0,0,0,60,0
500.0000,LONG,220.0000,1200,0.0000,0,0,0,59,1
500.0000,LONG,220.0000,1250,0.0000,0,0,0,59,1
